id_persona,sexopen,fnacpen,edadpen,redadpen,estcivil,fnaccon,prestacion,prestacion2,prestacion3,prestacion4,dpto,modalidad,pension,anios_aporte,bonif1,bonif2,bonif3,bonif4,bonif5,bonif6,bonif7,bonif8,bonif9
3819100,1,08/04/1924,96,7,2,,2,1,1,,10,,511,24,,,106.58,,,30,,45.709.999,
5625100,0,24/02/1949,71,3,,,1,1,2,,14,,500,,,,,,50,,,45.709.999,
8357100,1,21/06/1934,86,6,,,2,1,1,,14,1,696,28,,,,,,,,,
10718100,0,17/11/1952,67,2,2,,2,1,1,,14,4,500,32,,,,,,,,,
11153100,0,25/09/1948,71,3,2,,2,1,1,,14,1,850,26,,,,,,,,,
12010100,0,19/02/1936,84,5,1,,2,1,1,,14,3,893,21,,,,,,,,,
13245100,1,23/07/1923,97,7,,16/9/1928,2,1,1,,14,,716,23,,,13.150.999,,,30,,45.709.999,
14853100,1,29/10/1946,73,3,2,,2,1,1,,14,4,893,36,,,,,,,,,
16236100,0,21/02/1942,78,4,2,,2,1,1,,14,1,500,20,,,,,,30,,,
16244100,1,05/03/1939,81,5,2,,2,1,1,,14,1,517,20,,,108.39,,,30,,,
17020100,0,03/05/1942,78,4,,,2,1,1,,14,1,770,20,,,,,,,,,
22902100,1,19/06/1941,79,4,2,19/10/1948,2,1,1,,14,,826,38,,,,,,30,,,
24166100,0,14/06/1947,73,3,2,,4,2,,1,14,,385,,,,,,25,,100,,
24921100,0,16/09/1938,81,5,3,,4,2,,1,14,,385,,,,,,25,30,100,,
26266100,1,24/08/1946,74,3,2,17/12/1959,2,1,1,,14,1,893,27,,,,,,,,,
26983100,0,09/08/1925,95,7,1,,2,1,1,,14,,417,19,,,86.5,,,30,,45.709.999,
28927100,1,02/03/1938,82,5,2,,2,1,1,,14,4,893,38,,,214.34,,,,,,
30174100,1,25/03/1933,87,6,,,2,1,1,,14,,753,40,,,175,,,30,,,
31707100,1,20/10/1944,75,3,1,,2,1,1,,14,1,893,20,,,,,,,,,
32088100,1,16/09/1945,74,3,2,,2,1,1,,13,1,500,23,,,,,,,,,
32452100,1,19/06/1937,83,5,2,,2,1,1,,14,1,893,29,,,214.34,,,30,,,
33271100,1,12/04/1936,84,5,1,,2,1,1,,14,1,893,23,,,214.34,,,30,,,
34111100,0,11/06/1942,78,4,1,,2,1,1,,14,1,500,23,,,,,,30,,,
35206100,1,21/09/1922,97,7,1,,2,1,1,,19,,876,27,,,16.774.001,,,30,,,
35443100,0,06/12/1940,79,4,2,,2,1,1,,14,1,893,33,,,,,,,,,
36211100,0,08/08/1938,82,5,2,,2,1,1,,14,1,500,20,,,103.75,,,,,,
36431100,0,05/04/1934,86,6,,,2,1,1,,11,3,615,19,,,136,,,30,,,
36971100,0,01/06/1939,81,5,,,2,1,1,,14,1,845,20,,,200.77,,,30,,,
37098100,0,18/05/1933,87,6,1,,2,1,1,,14,,417,13,,,86.5,,,30,,45.709.999,
37233100,1,11/09/1948,71,3,2,,2,1,1,,14,1,893,30,,,,,,,,,
37756100,0,19/06/1939,81,5,1,,2,1,1,,7,1,501,20,,,103.91,,,30,,,
39112100,1,16/02/1940,80,4,2,,2,1,1,,14,4,893,33,,,223.25,,,30,,,
40251100,0,10/05/1926,94,7,3,,4,2,,1,14,,385,,,,,,,,100,,
40641100,0,05/12/1936,83,5,2,,4,2,,1,14,,385,,,,,,,30,100,,
